0,638955,1.968885546,316.828669438
100000,848292,2.243585409,492.660821742
200000,950839,2.433250947,582.830893017
300000,1035452,11.189744128,653.712030237
400000,1095059,13.139726197,704.093584539
500000,1141624,15.927269852,744.37929437

